central_id,central_id_norm,plant_name_norm,matched_caudal_id,method,score,confidence,nn_best_km,nn_second_id,nn_second_km,subtipo_de_central,potencia_efectiva_mw,lat,lon
Baba,baba,baba,daule_peripa,alias_manual,1.0,high,,,,Embalse,42.0,-0.7482926,-79.5297122
Cumbaya,cumbaya,cumbaya,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,40.0,-0.215492,-78.5013648
Pusuno,pusuno,pusuno,agoyan,alias_manual,1.0,high,,,,Pasada,38.25,-0.9438718,-78.1083982
Abanico,abanico,abanico,mazar,alias_manual,1.0,high,,,,Pasada,37.99,-2.4303097,-77.880192
Sabanilla,sabanilla,sabanilla,delsitanisagua,alias_manual,1.0,high,,,,Pasada,30.6,-4.0042008,-78.9577754
Nayon,nayon,nayon,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,29.7,-0.215492,-78.5013648
Topo,topo,topo,agoyan,alias_manual,1.0,high,,,,Pasada,27.0,-1.3319157,-78.2625285
Ocana,ocana,ocana,mazar,alias_manual,1.0,high,,,,Pasada,26.1,-2.5542,-78.9391
Saucay,saucay,saucay,mazar,alias_manual,1.0,high,,,,Pasada,24.0,-2.9006,-79.0045
Guangopolo_H,guangopolo_h,guangopolo_h,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,20.92,-0.215492,-78.5013648
Sigchos,sigchos,sigchos,agoyan,alias_manual,1.0,high,,,,Pasada,18.39,-0.6130215,-78.8818616
Saymirfn,saymirfn,saymirfn,mazar,alias_manual,1.0,high,,,,Pasada,15.52,-2.9006,-79.0045
Calope,calope,calope,agoyan,alias_manual,1.0,high,,,,Pasada,15.0,-0.7841909,-79.1010573
Recuperadora,recuperadora,recuperadora,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,14.5,-0.215492,-78.5013648
Sibimbe,sibimbe,sibimbe,agoyan,alias_manual,1.0,high,,,,Pasada,14.2,-1.3335519,-79.3369009
Alao,alao,alao,agoyan,alias_manual,1.0,high,,,,Pasada,10.44,-1.6731483,-78.6486465
Palmira-_Nanegal,palmira_nanegal,palmira_nanegal,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,10.36,-0.215492,-78.5013648
Rio_Verde_Chico,rio_verde_chico,rio_verde_chico,agoyan,alias_manual,1.0,high,,,,Pasada,10.2,-1.3319157,-78.2625285
Victoria,victoria,victoria,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,10.0,-0.2222967,-78.5234313
El_Carmen,el_carmen,el_carmen,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,8.2,-0.215492,-78.5013648
Chalpi,chalpi,chalpi,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,8.1,-0.2222967,-78.5234313
San_Jose_de_Tambo,san_jose_de_tambo,san_jose_de_tambo,agoyan,alias_manual,1.0,high,,,,Pasada,8.0,-1.9432708,-79.0660695
Ambi,ambi,ambi,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,7.85,0.3327,-78.2167
Alazan,alazan,alazan,mazar,alias_manual,1.0,high,,,,Pasada,6.23,-2.6317292,-78.7008934
Papallacta,papallacta,papallacta,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,6.2,-0.2222967,-78.5234313
San_Jose_de_Minas,san_jose_de_minas,san_jose_de_minas,agoyan,alias_manual,1.0,high,,,,Pasada,5.95,-0.215492,-78.5013648
Vindobona,vindobona,vindobona,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,5.86,-0.215492,-78.5013648
Illuchi_No.2,illuchi_no_2,illuchi_no_2,agoyan,alias_manual,1.0,high,,,,Pasada,5.2,-0.9336215,-78.6150488
Pasochoa,pasochoa,pasochoa,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,4.5,-0.4984774,-78.6516915
Illuchi_No.1,illuchi_no_1,illuchi_no_1,agoyan,alias_manual,1.0,high,,,,Pasada,4.0,-0.9336215,-78.6150488
Rfo_Blanco,rfo_blanco,rfo_blanco,agoyan,alias_manual,1.0,high,,,,Pasada,2.95,-1.6731483,-78.6486465
Penfnsula,penfnsula,penfnsula,agoyan,alias_manual,1.0,high,,,,Pasada,2.9,-1.2491,-78.6168
San_Miguel_de_Car,san_miguel_de_car,san_miguel_de_car,agoyan,alias_manual,1.0,high,,,,Pasada,2.52,0.811,-77.7173
Perlabf,perlabf,perlabf,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,2.46,-0.215492,-78.5013648
Carlos_Mora,carlos_mora,carlos_mora,delsitanisagua,alias_manual,1.0,high,,,,Pasada,2.4,-4.0042008,-78.9577754
Loreto,loreto,loreto,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,2.2,-0.2222967,-78.5234313
La_Calera,la_calera,la_calera,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,1.98,-0.4984774,-78.6516915
Los_Chillos,los_chillos,los_chillos,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,1.76,-0.39888,-78.4368107
Geppert,geppert,geppert,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,1.65,-0.0038813,-78.0481801
La_Playa,la_playa,la_playa,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,1.23,0.811,-77.7173
Ulba,ulba,ulba,agoyan,alias_manual,1.0,high,,,,Pasada,1.0,-1.3319157,-78.2625285
El_Laurel,el_laurel,el_laurel,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,1.0,0.5502,-78.0409
Uravia,uravia,uravia,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,0.98,-0.215492,-78.5013648
Corazon,corazon,corazon,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,0.98,-0.4984774,-78.6516915
Gualaceo,gualaceo,gualaceo,mazar,alias_manual,1.0,high,,,,Pasada,0.97,-2.9179486,-78.846188
Buenos_Aires,buenos_aires,buenos_aires,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,0.95,0.5973,-78.2069
Hidrocarolina,hidrocarolina,hidrocarolina,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,0.88,0.3478421,-78.1173588
Fabrica_Imbabura,fabrica_imbabura,fabrica_imbabura,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,0.61,0.3327,-78.2167
Sillunchi_I,sillunchi_i,sillunchi_i,coca_codo_sinclair,alias_manual,1.0,high,,,,Pasada,0.09,-0.4984774,-78.6516915
Tilivi,tilivi,tilivi,agoyan,alias_manual,1.0,high,,,,Pasada,0.06,-1.2491,-78.6168
