Name,Bus,v_nom,symbol,under_construction,tag_substation,tag_area,lon,lat,country,substation_lv,x,y,substation_off,v_nom_raw,type,carrier,unit,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,control,generator,sub_network,Year
San_Jacinto69,714,69,substation,True,transmission,0,-79.25,-0.25,EC,False,-79.25,-0.25,True,69,,AC,,1,0,inf,PQ,,,2027
Santa_Rosa69,713,69,substation,True,transmission,0,-78.3833,-2.8,EC,False,-78.3833,-2.8,True,69,,AC,,1,0,inf,PQ,,,2027
Urcuqui_B269,756,69,substation,True,transmission,0,-78.2069,0.5973,EC,False,-78.2069,0.5973,True,69,,AC,,1,0,inf,PQ,,,2027
DuranNorte138,732,138,substation,True,transmission,0,-79.83,-2.16,EC,False,-79.83,-2.16,True,138,,AC,,1,0,inf,PQ,,,2027
LagoChongon138,515,138,substation,True,transmission,0,-80.1,-2.23,EC,False,-80.1,-2.23,True,138,,AC,,1,0,inf,PQ,,,2027
LasEsclusas138,720,138,substation,True,transmission,0,-79.899,-2.239,EC,False,-79.899,-2.239,True,138,,AC,,1,0,inf,PQ,,,2027
Machala_Gas_Ciclo_Combinado138,743,138,substation,True,transmission,0,-79.8296713,-3.2413487,EC,False,-79.8296713,-3.2413487,True,138,,AC,,1,0,inf,PQ,,,2027
Posorja138,735,138,substation,True,transmission,0,-80.23,-2.71,EC,False,-80.23,-2.71,True,138,,AC,,1,0,inf,PQ,,,2027
SanGregorio138,507,138,substation,True,transmission,0,-79.96,-1.41,EC,False,-79.96,-1.41,True,138,,AC,,1,0,inf,PQ,,,2027
SanIdelfonso138,721,138,substation,True,transmission,0,-79.58,-1.02,EC,False,-79.58,-1.02,True,138,,AC,,1,0,inf,PQ,,,2027
DuranNorte230,731,230,substation,True,transmission,0,-79.83,-2.16,EC,False,-79.83,-2.16,True,230,,AC,,1,0,inf,PQ,,,2027
LasBrisas230,733,230,substation,True,transmission,0,-79.9,-2.15,EC,False,-79.9,-2.15,True,230,,AC,,1,0,inf,PQ,,,2027
LasEsclusas230,504,230,substation,True,transmission,0,-79.899,-2.239,EC,False,-79.899,-2.239,True,230,,AC,,1,0,inf,PQ,,,2027
MazarFlotante230,737,230,substation,True,transmission,0,-78.75,-2.78,EC,False,-78.75,-2.78,True,230,,AC,,1,0,inf,PQ,,,2027
Palestina230,509,230,substation,True,transmission,0,-79.79,-1.96,EC,False,-79.79,-1.96,True,230,,AC,,1,0,inf,PQ,,,2027
SanIdelfonso230,508,230,substation,True,transmission,0,-79.58,-1.02,EC,False,-79.58,-1.02,True,230,,AC,,1,0,inf,PQ,,,2027
SanJuandeManta230,516,230,substation,True,transmission,0,-80.708,-0.947,EC,False,-80.708,-0.947,True,230,,AC,,1,0,inf,PQ,,,2027
Urcuqui230,736,230,substation,True,transmission,0,-78.2069,0.5973,EC,False,-78.2069,0.5973,True,230,,AC,,1,0,inf,PQ,,,2027
Ambi_B369,763,69,substation,True,transmission,0,-78.2167,0.3327,EC,False,-78.2167,0.3327,True,69,,AC,,1,0,inf,PQ,,,2028
Aroma_Santo_Solar_B369,760,69,substation,True,transmission,0,-79.7911481,-4.3289128,EC,False,-79.7911481,-4.3289128,True,69,,AC,,1,0,inf,PQ,,,2028
Imbabura_Solar_B369,764,69,substation,True,transmission,0,-78.1173588,0.3478421,EC,False,-78.1173588,0.3478421,True,69,,AC,,1,0,inf,PQ,,,2028
Intiyana_Solar_B369,765,69,substation,True,transmission,0,-78.2069,0.5973,EC,False,-78.2069,0.5973,True,69,,AC,,1,0,inf,PQ,,,2028
Nariapura_B369,761,69,substation,True,transmission,0,-78.1173588,0.3478421,EC,False,-78.1173588,0.3478421,True,69,,AC,,1,0,inf,PQ,,,2028
Quijos69,745,69,substation,True,transmission,0,-78.5234313,-0.2222967,EC,False,-78.5234313,-0.2222967,True,69,,AC,,1,0,inf,PQ,,,2028
Urcuqui_B369,762,69,substation,True,transmission,0,-78.2069,0.5973,EC,False,-78.2069,0.5973,True,69,,AC,,1,0,inf,PQ,,,2028
Bloque_2_ERNC_Biomasa_30_MW138,768,138,substation,True,transmission,0,-79.4663323,-1.0243508,EC,False,-79.4663323,-1.0243508,True,138,,AC,,1,0,inf,PQ,,,2028
Bloque_2_ERNC_Hidroelectrico_200_MW138,717,138,substation,True,transmission,0,-78.4885,0.5036,EC,False,-78.4885,0.5036,True,138,,AC,,1,0,inf,PQ,,,2028
Bloque_3_ERNC_Eolico_Villonaco_II138,744,138,substation,True,transmission,0,-79.8053425,-4.0528506,EC,False,-79.8053425,-4.0528506,True,138,,AC,,1,0,inf,PQ,,,2028
Bloque_2_ERNC_Eolico_300_MW230,716,230,substation,True,transmission,0,-80.0636,-4.0596,EC,False,-80.0636,-4.0596,True,230,,AC,,1,0,inf,PQ,,,2028
Bloque_de_Ciclo_Combinado_I_400_MW230,715,230,substation,True,transmission,0,-79.867001,-2.4396,EC,False,-79.867001,-2.4396,True,230,,AC,,1,0,inf,PQ,,,2028
Chachimbiro138,746,138,substation,True,transmission,0,-78.1932194,0.4201139,EC,False,-78.1932194,0.4201139,True,138,,AC,,1,0,inf,PQ,,,2029
