Name,Name,carrier,Technology,component,Country,p_nom,DateIn,DateRetrofit,lat,lon,projectID,carrier_norm,bus
Esmeraldas_II,Esmeraldas_II,oil,MCI,S.N.I.,Ecuador,100.2,2050.0,2050.0,0.7343619,-79.3858867,Esmeraldas_II,termica,186
San_Carlos,San_Carlos,biomass,Turbovapor,S.N.I.,Ecuador,78.0,2050.0,2050.0,-2.2333629,-79.3861649,San_Carlos,biomasa,158
Pucara,Pucara,hydro,Embalse,S.N.I.,Ecuador,73.0,2050.0,2050.0,-1.1725302,-78.5423177,Pucara,hidraulica,66
Santa_Elena_II,Santa_Elena_II,oil,MCI,S.N.I.,Ecuador,90.1,2050.0,2050.0,-2.1954593,-80.5669167,Santa_Elena_II,termica,146
Manduriacu,Manduriacu,hydro,Pasada,S.N.I.,Ecuador,63.36,2050.0,2050.0,0.3955234,-78.4507013,Manduriacu,hidraulica,256
Due,Due,hydro,Pasada,S.N.I.,Ecuador,64.3,2050.0,2050.0,0.1116857,-77.6398817,Due,hidraulica,161
Alvaro_Tinajero,Alvaro_Tinajero,oil,Turbogas,S.N.I.,Ecuador,94.8,2050.0,2050.0,-2.1899066,-79.887726,Alvaro_Tinajero,termica,271
Santa_Rosa,Santa_Rosa,oil,Turbogas,S.N.I.,Ecuador,71.1,2050.0,2050.0,-0.4984774,-78.6516915,Santa_Rosa,termica,111
Huascachaca,Huascachaca,onwind,Eolica,S.N.I.,Ecuador,49.98,2050.0,2050.0,-3.6223,-79.2396,Huascachaca,eolica,159
Hidrosanbartolo,Hidrosanbartolo,hydro,Pasada,S.N.I.,Ecuador,49.98,2050.0,2050.0,-3.7939049,-79.2817721,Hidrosanbartolo,hidraulica,159
Hidronormandfa,Hidronormandfa,hydro,Pasada,S.N.I.,Ecuador,49.58,2050.0,2050.0,-2.4303097,-77.880192,Hidronormandfa,hidraulica,51
Sarapullo,Sarapullo,hydro,Pasada,S.N.I.,Ecuador,48.45,2050.0,2050.0,-0.4984774,-78.6516915,Sarapullo,hidraulica,111
Guangopolo2,Guangopolo2,oil,MCI,S.N.I.,Ecuador,52.2,2050.0,2050.0,-0.215492,-78.5013648,Guangopolo2,termica,111
Jivino_III,Jivino_III,oil,MCI,S.N.I.,Ecuador,44.0,2050.0,2050.0,-0.2886094,-76.5906632,Jivino_III,termica,161
Baba,Baba,hydro,Embalse,S.N.I.,Ecuador,42.2,2050.0,2050.0,-0.7482926,-79.5297122,Baba,hidraulica,107
Quevedo_II,Quevedo_II,oil,MCI,S.N.I.,Ecuador,47.6,2050.0,2050.0,-1.0243508,-79.4663323,Quevedo_II,termica,56
Santa_Elena_III,Santa_Elena_III,oil,MCI,S.N.I.,Ecuador,41.7,2050.0,2050.0,-2.1954593,-80.5669167,Santa_Elena_III,termica,146
Cumbaya,Cumbaya,hydro,Pasada,S.N.I.,Ecuador,40.0,2050.0,2050.0,-0.215492,-78.5013648,Cumbaya,hidraulica,111
Miraflores,Miraflores,oil,MCI,S.N.I.,Ecuador,49.0,2050.0,2050.0,-1.0321775,-80.8222167,Miraflores,termica,273
Pusuno,Pusuno,hydro,Pasada,S.N.I.,Ecuador,38.25,2050.0,2050.0,-0.9438718,-78.1083982,Pusuno,hidraulica,196
Abanico,Abanico,hydro,Pasada,S.N.I.,Ecuador,38.45,2050.0,2050.0,-2.4303097,-77.880192,Abanico,hidraulica,51
Ecoelectric,Ecoelectric,biomass,Turbovapor,S.N.I.,Ecuador,36.5,2050.0,2050.0,-2.1171796,-79.5566606,Ecoelectric,biomasa,277
Generoca,Generoca,oil,MCI,S.N.I.,Ecuador,38.12,2050.0,2050.0,-2.1899066,-79.887726,Generoca,termica,271
G._Hernandez,G._Hernandez,oil,MCI,S.N.I.,Ecuador,34.32,2050.0,2050.0,-0.215492,-78.5013648,G._Hernandez,termica,111
Sabanilla,Sabanilla,hydro,Pasada,S.N.I.,Ecuador,36.0,2050.0,2050.0,-4.0042008,-78.9577754,Sabanilla,hidraulica,159
Nayon,Nayon,hydro,Pasada,S.N.I.,Ecuador,29.7,2050.0,2050.0,-0.215492,-78.5013648,Nayon,hidraulica,111
Ecudos_A-G,Ecudos_A-G,biomass,Turbovapor,S.N.I.,Ecuador,29.8,2050.0,2050.0,-2.4239,-79.3367,Ecudos_A-G,biomasa,158
Topo,Topo,hydro,Pasada,S.N.I.,Ecuador,29.2,2050.0,2050.0,-1.3319157,-78.2625285,Topo,hidraulica,110
Ocana,Ocana,hydro,Pasada,S.N.I.,Ecuador,26.1,2050.0,2050.0,-2.5542,-78.9391,Ocana,hidraulica,197
Selva_Alegre,Selva_Alegre,oil,MCI,S.N.I.,Ecuador,29.28,2050.0,2050.0,0.2333,-78.2667,Selva_Alegre,termica,256
Saucay,Saucay,hydro,Pasada,S.N.I.,Ecuador,24.0,2050.0,2050.0,-2.9006,-79.0045,Saucay,hidraulica,65
Guangopolo_T,Guangopolo_T,oil,MCI,S.N.I.,Ecuador,22.5,2050.0,2050.0,-0.215492,-78.5013648,Guangopolo_T,termica,111
Guangopolo_H,Guangopolo_H,hydro,Pasada,S.N.I.,Ecuador,20.92,2050.0,2050.0,-0.215492,-78.5013648,Guangopolo_H,hidraulica,111
Anfbal_Santos_Vapor,Anfbal_Santos_Vapor,oil,Turbovapor,S.N.I.,Ecuador,34.5,2050.0,2050.0,-2.1899066,-79.887726,Anfbal_Santos_Vapor,termica,271
Gonzalo_Zevallos_Gas,Gonzalo_Zevallos_Gas,oil,Turbogas,S.N.I.,Ecuador,26.27,2050.0,2050.0,-2.1899066,-79.887726,Gonzalo_Zevallos_Gas,termica,271
Sigchos,Sigchos,hydro,Pasada,S.N.I.,Ecuador,18.6,2050.0,2050.0,-0.6130215,-78.8818616,Sigchos,hidraulica,281
Manta_II,Manta_II,oil,MCI,S.N.I.,Ecuador,20.4,2050.0,2050.0,-1.0321775,-80.8222167,Manta_II,termica,273
El_Descanso,El_Descanso,oil,MCI,S.N.I.,Ecuador,19.2,2050.0,2050.0,-2.6317292,-78.7008934,El_Descanso,termica,85
Catamayo,Catamayo,oil,MCI,S.N.I.,Ecuador,19.74,2050.0,2050.0,-3.987,-79.3592,Catamayo,termica,159
Villonaco,Villonaco,onwind,Eolica,S.N.I.,Ecuador,16.5,2050.0,2050.0,-4.0528506,-79.8053425,Villonaco,eolica,123
Saymirfn,Saymirfn,hydro,Pasada,S.N.I.,Ecuador,15.52,2050.0,2050.0,-2.9006,-79.0045,Saymirfn,hidraulica,65
Calope,Calope,hydro,Pasada,S.N.I.,Ecuador,16.6,2050.0,2050.0,-0.7841909,-79.1010573,Calope,hidraulica,107
Recuperadora,Recuperadora,hydro,Pasada,S.N.I.,Ecuador,14.7,2050.0,2050.0,-0.215492,-78.5013648,Recuperadora,hidraulica,111
Sibimbe,Sibimbe,hydro,Pasada,S.N.I.,Ecuador,15.37,2050.0,2050.0,-1.3335519,-79.3369009,Sibimbe,hidraulica,56
Alao,Alao,hydro,Pasada,S.N.I.,Ecuador,10.5,2050.0,2050.0,-1.6731483,-78.6486465,Alao,hidraulica,82
Palmira-_Nanegal,Palmira-_Nanegal,hydro,Pasada,S.N.I.,Ecuador,10.44,2050.0,2050.0,-0.215492,-78.5013648,Palmira-_Nanegal,hidraulica,111
Rio_Verde_Chico,Rio_Verde_Chico,hydro,Pasada,S.N.I.,Ecuador,10.0,2050.0,2050.0,-1.3319157,-78.2625285,Rio_Verde_Chico,hidraulica,110
Jivino_II,Jivino_II,oil,MCI,S.N.I.,Ecuador,11.0,2050.0,2050.0,-0.2886094,-76.5906632,Jivino_II,termica,161
Victoria,Victoria,hydro,Pasada,S.N.I.,Ecuador,10.32,2050.0,2050.0,-0.2222967,-78.5234313,Victoria,hidraulica,111
La_Propicia,La_Propicia,oil,MCI,S.N.I.,Ecuador,10.5,2050.0,2050.0,0.7343619,-79.3858867,La_Propicia,termica,186
El_Carmen,El_Carmen,hydro,Pasada,S.N.I.,Ecuador,8.4,2050.0,2050.0,-0.215492,-78.5013648,El_Carmen,hidraulica,111
Chalpi,Chalpi,hydro,Pasada,S.N.I.,Ecuador,8.1,2050.0,2050.0,-0.2222967,-78.5234313,Chalpi,hidraulica,111
San_Jose_de_Tambo,San_Jose_de_Tambo,hydro,Pasada,S.N.I.,Ecuador,8.0,2050.0,2050.0,-1.9432708,-79.0660695,San_Jose_de_Tambo,hidraulica,181
Ambi,Ambi,hydro,Pasada,S.N.I.,Ecuador,8.0,2050.0,2050.0,0.3327,-78.2167,Ambi,hidraulica,288
Celso_Castellanos,Celso_Castellanos,oil,MCI,S.N.I.,Ecuador,10.0,2050.0,2050.0,0.0854,-76.8915,Celso_Castellanos,termica,161
Alazan,Alazan,hydro,Pasada,S.N.I.,Ecuador,6.23,2050.0,2050.0,-2.6317292,-78.7008934,Alazan,hidraulica,85
Papallacta,Papallacta,hydro,Pasada,S.N.I.,Ecuador,6.63,2050.0,2050.0,-0.2222967,-78.5234313,Papallacta,hidraulica,111
San_Jose_de_Minas,San_Jose_de_Minas,hydro,Pasada,S.N.I.,Ecuador,6.75,2050.0,2050.0,-0.215492,-78.5013648,San_Jose_de_Minas,hidraulica,111
Vindobona,Vindobona,hydro,Pasada,S.N.I.,Ecuador,6.09,2050.0,2050.0,-0.215492,-78.5013648,Vindobona,hidraulica,111
El_Inga,El_Inga,biomass,MCI,S.N.I.,Ecuador,6.2,2050.0,2050.0,-0.215492,-78.5013648,El_Inga,biogas,111
Jivino_I,Jivino_I,oil,MCI,S.N.I.,Ecuador,7.5,2050.0,2050.0,-0.2886094,-76.5906632,Jivino_I,termica,161
Illuchi_No.2,Illuchi_No.2,hydro,Pasada,S.N.I.,Ecuador,5.2,2050.0,2050.0,-0.9336215,-78.6150488,Illuchi_No.2,hidraulica,66
Pasochoa,Pasochoa,hydro,Pasada,S.N.I.,Ecuador,4.5,2050.0,2050.0,-0.4984774,-78.6516915,Pasochoa,hidraulica,111
Illuchi_No.1,Illuchi_No.1,hydro,Pasada,S.N.I.,Ecuador,4.19,2050.0,2050.0,-0.9336215,-78.6150488,Illuchi_No.1,hidraulica,66
Macas,Macas,oil,MCI,S.N.I.,Ecuador,4.5,2050.0,2050.0,-2.4303097,-77.880192,Macas,termica,51
Pedernales,Pedernales,oil,MCI,S.N.I.,Ecuador,5.0,2050.0,2050.0,0.0716,-79.9973,Pedernales,termica,291
Lligua,Lligua,oil,MCI,S.N.I.,Ecuador,5.0,2050.0,2050.0,-1.2491,-78.6168,Lligua,termica,11
Rfo_Blanco,Rfo_Blanco,hydro,Pasada,S.N.I.,Ecuador,3.03,2050.0,2050.0,-1.6731483,-78.6486465,Rfo_Blanco,hidraulica,82
Penfnsula,Penfnsula,hydro,Pasada,S.N.I.,Ecuador,3.0,2050.0,2050.0,-1.2491,-78.6168,Penfnsula,hidraulica,11
San_Miguel_de_Car,San_Miguel_de_Car,hydro,Pasada,S.N.I.,Ecuador,2.95,2050.0,2050.0,0.811,-77.7173,San_Miguel_de_Car,hidraulica,83
Perlabf,Perlabf,hydro,Pasada,S.N.I.,Ecuador,2.7,2050.0,2050.0,-0.215492,-78.5013648,Perlabf,hidraulica,111
Carlos_Mora,Carlos_Mora,hydro,Pasada,S.N.I.,Ecuador,2.4,2050.0,2050.0,-4.0042008,-78.9577754,Carlos_Mora,hidraulica,159
Loreto,Loreto,hydro,Pasada,S.N.I.,Ecuador,2.3,2050.0,2050.0,-0.2222967,-78.5234313,Loreto,hidraulica,111
Salinas,Salinas,solar,Solar,S.N.I.,Ecuador,2.0,2050.0,2050.0,0.3478421,-78.1173588,Salinas,solar,288
La_Calera,La_Calera,hydro,Pasada,S.N.I.,Ecuador,2.5,2050.0,2050.0,-0.4984774,-78.6516915,La_Calera,hidraulica,111
Payamino,Payamino,oil,MCI,S.N.I.,Ecuador,2.5,2050.0,2050.0,-0.78618,-76.4803184,Payamino,termica,161
Loreto1,Loreto1,oil,MCI,S.N.I.,Ecuador,2.25,2050.0,2050.0,-0.78618,-76.4803184,Loreto1,termica,161
Dayuma,Dayuma,oil,MCI,S.N.I.,Ecuador,2.25,2050.0,2050.0,-0.78618,-76.4803184,Dayuma,termica,161
Los_Chillos,Los_Chillos,hydro,Pasada,S.N.I.,Ecuador,1.76,2050.0,2050.0,-0.39888,-78.4368107,Los_Chillos,hidraulica,280
Pichacay,Pichacay,biomass,MCI,S.N.I.,Ecuador,2.12,2050.0,2050.0,-2.9006,-79.0045,Pichacay,biogas,65
Geppert,Geppert,hydro,Pasada,S.N.I.,Ecuador,1.65,2050.0,2050.0,-0.0038813,-78.0481801,Geppert,hidraulica,278
La_Playa,La_Playa,hydro,Pasada,S.N.I.,Ecuador,1.43,2050.0,2050.0,0.811,-77.7173,La_Playa,hidraulica,83
Ulba,Ulba,hydro,Pasada,S.N.I.,Ecuador,1.0,2050.0,2050.0,-1.3319157,-78.2625285,Ulba,hidraulica,110
Tren_Salinas,Tren_Salinas,solar,Solar,S.N.I.,Ecuador,1.0,2050.0,2050.0,0.3478421,-78.1173588,Tren_Salinas,solar,288
Brineforcorp,Brineforcorp,solar,Solar,S.N.I.,Ecuador,1.0,2050.0,2050.0,-0.4373946,-80.3761409,Brineforcorp,solar,291
Solsantros,Solsantros,solar,Solar,S.N.I.,Ecuador,1.0,2050.0,2050.0,-3.4145539,-80.154904,Solsantros,solar,123
Saracaysol,Saracaysol,solar,Solar,S.N.I.,Ecuador,1.0,2050.0,2050.0,-3.4145539,-80.154904,Saracaysol,solar,123
Sanersol,Sanersol,solar,Solar,S.N.I.,Ecuador,1.0,2050.0,2050.0,-3.4145539,-80.154904,Sanersol,solar,123
San_Pedro,San_Pedro,solar,Solar,S.N.I.,Ecuador,1.0,2050.0,2050.0,-4.2302729,-79.4365638,San_Pedro,solar,159
San_Pedro1,San_Pedro1,solar,Solar,S.N.I.,Ecuador,1.0,2050.0,2050.0,-4.2303,-79.4366,San_Pedro1,solar,159
San_Pedro2,San_Pedro2,solar,Solar,S.N.I.,Ecuador,1.0,2050.0,2050.0,-4.2303,-79.4366,San_Pedro2,solar,159
Gonzanergy,Gonzanergy,solar,Solar,S.N.I.,Ecuador,1.0,2050.0,2050.0,-4.2302729,-79.4365638,Gonzanergy,solar,159
Gonzanergy1,Gonzanergy1,solar,Solar,S.N.I.,Ecuador,1.0,2050.0,2050.0,-4.2303,-79.4366,Gonzanergy1,solar,159
Gonzanergy2,Gonzanergy2,solar,Solar,S.N.I.,Ecuador,1.0,2050.0,2050.0,-4.2303,-79.4366,Gonzanergy2,solar,159
Surenergy,Surenergy,solar,Solar,S.N.I.,Ecuador,1.0,2050.0,2050.0,-3.987,-79.3592,Surenergy,solar,159
Solsantonio,Solsantonio,solar,Solar,S.N.I.,Ecuador,1.0,2050.0,2050.0,-3.4145539,-80.154904,Solsantonio,solar,123
Solhuaqui,Solhuaqui,solar,Solar,S.N.I.,Ecuador,1.0,2050.0,2050.0,-3.4145539,-80.154904,Solhuaqui,solar,123
Solchacras,Solchacras,solar,Solar,S.N.I.,Ecuador,1.0,2050.0,2050.0,-3.4145539,-80.154904,Solchacras,solar,123
Electrisol,Electrisol,solar,Solar,S.N.I.,Ecuador,1.0,2050.0,2050.0,-0.2149977,-78.4968845,Electrisol,solar,111
Mulalo,Mulalo,solar,Solar,S.N.I.,Ecuador,1.0,2050.0,2050.0,-0.9336215,-78.6150488,Mulalo,solar,66
Pastocalle,Pastocalle,solar,Solar,S.N.I.,Ecuador,1.0,2050.0,2050.0,-0.9336215,-78.6150488,Pastocalle,solar,66
El_Laurel,El_Laurel,hydro,Pasada,S.N.I.,Ecuador,1.0,2050.0,2050.0,0.5502,-78.0409,El_Laurel,hidraulica,288
Paragachi,Paragachi,solar,Solar,S.N.I.,Ecuador,1.0,2050.0,2050.0,0.3924612,-77.9402957,Paragachi,solar,83
Wildtecsa,Wildtecsa,solar,Solar,S.N.I.,Ecuador,1.0,2050.0,2050.0,-1.8167,-79.5167,Wildtecsa,solar,181
Sansau,Sansau,solar,Solar,S.N.I.,Ecuador,1.0,2050.0,2050.0,-1.8167,-79.5167,Sansau,solar,181
Genrenotec,Genrenotec,solar,Solar,S.N.I.,Ecuador,0.99,2050.0,2050.0,-2.1899066,-79.887726,Genrenotec,solar,271
Altgenotec,Altgenotec,solar,Solar,S.N.I.,Ecuador,0.99,2050.0,2050.0,-2.1899066,-79.887726,Altgenotec,solar,271
Uravia,Uravia,hydro,Pasada,S.N.I.,Ecuador,0.99,2050.0,2050.0,-0.215492,-78.5013648,Uravia,hidraulica,111
Corazon,Corazon,hydro,Pasada,S.N.I.,Ecuador,0.99,2050.0,2050.0,-0.4984774,-78.6516915,Corazon,hidraulica,111
Gualaceo,Gualaceo,hydro,Pasada,S.N.I.,Ecuador,0.97,2050.0,2050.0,-2.9179486,-78.846188,Gualaceo,hidraulica,65
Buenos_Aires,Buenos_Aires,hydro,Pasada,S.N.I.,Ecuador,0.98,2050.0,2050.0,0.5973,-78.2069,Buenos_Aires,hidraulica,288
Hidrocarolina,Hidrocarolina,hydro,Pasada,S.N.I.,Ecuador,0.92,2050.0,2050.0,0.3478421,-78.1173588,Hidrocarolina,hidraulica,288
Sabiango_Solar,Sabiango_Solar,solar,Solar,S.N.I.,Ecuador,1.0,2050.0,2050.0,-4.3490568,-79.9161416,Sabiango_Solar,solar,123
Renova_Loja,Renova_Loja,solar,Solar,S.N.I.,Ecuador,1.0,2050.0,2050.0,-3.987,-79.3592,Renova_Loja,solar,159
Lojaenergy,Lojaenergy,solar,Solar,S.N.I.,Ecuador,1.0,2050.0,2050.0,-3.987,-79.3592,Lojaenergy,solar,159
Fabrica_Imbabura,Fabrica_Imbabura,hydro,Pasada,S.N.I.,Ecuador,0.79,2050.0,2050.0,0.3327,-78.2167,Fabrica_Imbabura,hidraulica,288
Enersol,Enersol,solar,Solar,S.N.I.,Ecuador,0.5,2050.0,2050.0,-0.9739097,-80.6020847,Enersol,solar,273
Sillunchi_I,Sillunchi_I,hydro,Pasada,S.N.I.,Ecuador,0.1,2050.0,2050.0,-0.4984774,-78.6516915,Sillunchi_I,hidraulica,111
Tilivi,Tilivi,hydro,Pasada,S.N.I.,Ecuador,0.1,2050.0,2050.0,-1.2491,-78.6168,Tilivi,hidraulica,11
