Bus,v_nom,symbol,under_construction,tag_substation,tag_area,lon,lat,country,substation_lv,x,y,substation_off,v_nom_raw,type,carrier,unit,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,control,generator,sub_network
110,230.0,substation,False,transmission,0.0,-78.2633,-1.4092,EC,True,-78.2633,-1.4092,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
111,138.0,substation,False,transmission,0.0,-78.5739,-0.3056,EC,True,-78.5739,-0.3056,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
115,230.0,substation,False,transmission,0.0,-79.6968,-2.3047,EC,True,-79.6968,-2.3047,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
120,230.0,substation,False,transmission,0.0,-76.6497,-0.1793,EC,False,-76.6497,-0.1793,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
123,230.0,substation,False,transmission,0.0,-80.2073,-3.5449,EC,True,-80.2073,-3.5449,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
125,230.0,substation,False,transmission,0.0,-79.2568,-0.1174,EC,False,-79.2568,-0.1174,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
128,138.0,substation,False,transmission,0.0,-78.1432,-0.3815,EC,True,-78.1432,-0.3815,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
131,138.0,substation,False,transmission,0.0,-78.5003,-3.0067,EC,True,-78.5003,-3.0067,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
132,138.0,substation,False,transmission,0.0,-78.4419,-2.978,EC,True,-78.4419,-2.978,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
142,138.0,substation,False,transmission,0.0,-80.7269,-2.2852,EC,False,-80.7269,-2.2852,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
145,138.0,substation,False,transmission,0.0,-80.3203,-2.2068,EC,False,-80.3203,-2.2068,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
146,138.0,substation,False,transmission,0.0,-80.1395,-2.1476,EC,True,-80.1395,-2.1476,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
153,138.0,substation,False,transmission,0.0,-78.5539,-0.4588,EC,False,-78.5539,-0.4588,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
158,230.0,substation,False,transmission,0.0,-79.297,-2.4605,EC,True,-79.297,-2.4605,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
159,230.0,substation,False,transmission,0.0,-79.6002,-3.3087,EC,True,-79.6002,-3.3087,True,230.0,,AC,,1.0,0.0,inf,Slack,,7
161,230.0,substation,False,transmission,0.0,-77.4499,-0.0227,EC,True,-77.4499,-0.0227,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
165,138.0,substation,False,transmission,0.0,-78.366,-0.454,EC,True,-78.366,-0.454,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
166,138.0,substation,False,transmission,0.0,-78.193,-1.4056,EC,True,-78.193,-1.4056,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
177,138.0,substation,False,transmission,0.0,-80.1149,-0.7171,EC,False,-80.1149,-0.7171,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
181,138.0,substation,False,transmission,0.0,-79.5076,-1.9661,EC,True,-79.5076,-1.9661,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
186,138.0,substation,False,transmission,0.0,-79.4962,-0.0596,EC,True,-79.4962,-0.0596,True,138.0,,AC,,1.0,0.0,inf,Slack,,12
196,138.0,substation,False,transmission,0.0,-77.8116,-1.0073,EC,True,-77.8116,-1.0073,True,138.0,,AC,,1.0,0.0,inf,PQ,,0
197,230.0,substation,False,transmission,0.0,-78.7794,-2.5958,EC,True,-78.7794,-2.5958,True,230.0,,AC,,1.0,0.0,inf,PQ,,0
