Line,num_parallel,v_nom,bus0,bus1,length,dc,carrier,type,s_max_pu,s_nom,underwater_fraction,v_nom_raw,x,r,g,b,s_nom_mod,s_nom_extendable,s_nom_min,s_nom_max,capital_cost,build_year,lifetime,terrain_factor,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt,s_nom_pu
60,2.0,230.0,53,32,14.021839354080184,False,AC,Al/St 240/40 2-bundle 220.0,0.7,1027.7989492113718,0.0,230.0,2.1102868227890674,0.4206551806224055,0.0,0.0001101272687614864,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,3.989200043079523e-05,7.951893773580444e-06,0.0,5.82573251748263,3.989200043079523e-05,7.951893773580444e-06,1027.7989492113718,1.0
63,2.0,138.0,47,52,67.62430408494915,False,AC,243-AL1/39-ST1A 20.0,0.7,308.3396847634115,0.0,138.0,10.819888653591864,4.016883662645979,0.0,0.00046738563721827664,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.0005681521032131834,0.0002109264683178943,0.0,8.90089207518486,0.0005681521032131834,0.0002109264683178943,308.3396847634115,1.0
64,2.0,138.0,50,47,119.17844784107916,False,AC,243-AL1/39-ST1A 20.0,0.7,308.3396847634115,0.0,138.0,19.068551654572666,7.079199801760103,0.0,0.000823702299648291,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.0010012892068143597,0.0003717286180298311,0.0,15.686586594502055,0.0010012892068143597,0.0003717286180298311,308.3396847634115,1.0
65,1.0,138.0,131,65,35.64515064042722,False,AC,243-AL1/39-ST1A 20.0,0.7,154.16984238170576,0.0,138.0,11.40644820493671,4.234643896082754,0.0,0.00012318079772687444,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.0005989523317022007,0.00022236105314444202,0.0,2.3458551119105966,0.0005989523317022007,0.00022236105314444202,154.16984238170576,1.0
66,1.0,138.0,132,131,5.980550467845258,False,AC,243-AL1/39-ST1A 20.0,0.7,154.16984238170576,0.0,138.0,1.9137761497104826,0.7104893955800167,0.0,2.066729875562623e-05,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.00010049234140466722,3.7307781746482706e-05,0.0,0.39358803750214594,0.00010049234140466722,3.7307781746482706e-05,154.16984238170576,1.0
67,1.0,138.0,51,132,33.11781807378683,False,AC,243-AL1/39-ST1A 20.0,0.7,154.16984238170576,0.0,138.0,10.597701783611786,3.934396787165875,0.0,0.00011444696335988517,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.0005564850758040215,0.00020659508439224296,0.0,2.1795279702256534,0.0005564850758040215,0.00020659508439224296,154.16984238170576,1.0
69,1.0,138.0,97,50,48.34390286962548,False,AC,243-AL1/39-ST1A 20.0,0.7,154.16984238170576,0.0,138.0,15.470048918280154,5.743255660911507,0.0,0.00016706453511118133,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.0008123319112728499,0.00030157822206004553,0.0,3.1815770066573372,0.0008123319112728499,0.00030157822206004553,154.16984238170576,1.0
80,1.0,138.0,3,146,84.83316082032385,False,AC,243-AL1/39-ST1A 20.0,0.7,154.16984238170576,0.0,138.0,27.146611462503635,10.078179505454473,0.0,0.000293162358295324,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.001425467940690172,0.0005292049729812263,0.0,5.58298395137615,0.001425467940690172,0.0005292049729812263,154.16984238170576,1.0
81,2.0,138.0,146,24,24.288374543326125,False,AC,243-AL1/39-ST1A 20.0,0.7,308.3396847634115,0.0,138.0,3.88613992693218,1.442729447873572,0.0,0.00016786919387249154,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.00020406111777631695,7.575768997445767e-05,0.0,3.1969009281077287,0.00020406111777631695,7.575768997445767e-05,308.3396847634115,1.0
82,2.0,138.0,146,271,13.892486768606089,False,AC,243-AL1/39-ST1A 20.0,0.7,308.3396847634115,0.0,138.0,2.222797882976974,0.8252137140552017,0.0,9.601797561916185e-05,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.0001167190654787321,4.333195305897929e-05,0.0,1.8285663276913182,0.0001167190654787321,4.333195305897929e-05,308.3396847634115,1.0
84,1.0,138.0,38,273,9.036810588720083,False,AC,243-AL1/39-ST1A 20.0,0.7,154.16984238170576,0.0,138.0,2.8917793883904266,1.0735730979399458,0.0,3.122897553314602e-05,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.000151847268871583,5.637329856857519e-05,0.0,0.5947246100532327,0.000151847268871583,5.637329856857519e-05,154.16984238170576,1.0
88,2.0,138.0,62,42,74.96892815655865,False,AC,243-AL1/39-ST1A 20.0,0.7,308.3396847634115,0.0,138.0,11.995028505049383,4.453154332499584,0.0,0.0005181480346771204,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.0006298586696623285,0.00023383503111213948,0.0,9.867611172391081,0.0006298586696623285,0.00023383503111213948,308.3396847634115,1.0
90,1.0,138.0,64,277,22.914154120427202,False,AC,243-AL1/39-ST1A 20.0,0.7,154.16984238170576,0.0,138.0,7.332529318536705,2.7222015095067515,0.0,7.918563207275423e-05,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.0003850309451027465,0.00014294273836939464,0.0,1.5080111771935314,0.0003850309451027465,0.00014294273836939464,154.16984238170576,1.0
91,1.0,138.0,77,38,21.353492948494388,False,AC,243-AL1/39-ST1A 20.0,0.7,154.16984238170576,0.0,138.0,6.833117743518204,2.5367949622811334,0.0,7.379237423301856e-05,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.0003588068548371248,0.00013320704485828258,0.0,1.4053019748936053,0.0003588068548371248,0.00013320704485828258,154.16984238170576,1.0
93,1.0,138.0,91,278,23.62222331117186,False,AC,243-AL1/39-ST1A 20.0,0.7,154.16984238170576,0.0,138.0,7.5591114595749955,2.8063201293672173,0.0,8.163254353741859e-05,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.00039692876809362506,0.0001473598051547583,0.0,1.5546101591265995,0.00039692876809362506,0.0001473598051547583,154.16984238170576,1.0
95,1.0,138.0,142,3,15.209917079986292,False,AC,243-AL1/39-ST1A 20.0,0.7,154.16984238170576,0.0,138.0,4.867173465595614,1.8069381491023715,0.0,5.256170013621434e-05,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.00025557516622535257,9.488228046116212e-05,0.0,1.0009850173940658,0.00025557516622535257,9.488228046116212e-05,154.16984238170576,1.0
99,2.0,230.0,110,12,44.669154505996524,False,AC,Al/St 240/40 2-bundle 220.0,0.7,1027.7989492113718,0.0,230.0,6.722707753152476,1.3400746351798956,0.0,0.00035083071909526527,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.0001270833223658313,2.5332223727408233e-05,0.0,18.558945040139534,0.0001270833223658313,2.5332223727408233e-05,1027.7989492113718,1.0
100,2.0,138.0,16,24,17.90252087284384,False,AC,243-AL1/39-ST1A 20.0,0.7,308.3396847634115,0.0,138.0,2.8644033396550146,1.0634097398469242,0.0,0.0001237333417207011,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.0001504097531849934,5.5839620869928805e-05,0.0,2.356377759729032,0.0001504097531849934,5.5839620869928805e-05,308.3396847634115,1.0
101,2.0,230.0,158,197,63.08752940879147,False,AC,Al/St 240/40 2-bundle 220.0,0.7,1027.7989492113718,0.0,230.0,9.494673176023115,1.892625882263744,0.0,0.0004954882973094734,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.0001794834248775636,3.577742688589308e-05,0.0,26.211330927671142,0.0001794834248775636,3.577742688589308e-05,1027.7989492113718,1.0
103,2.0,230.0,40,17,18.64708631149593,False,AC,Al/St 240/40 2-bundle 220.0,0.7,1027.7989492113718,0.0,230.0,2.806386489880137,0.5594125893448778,0.0,0.00014645387341762604,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,5.3050784307753063e-05,1.0574907170980677e-05,0.0,7.747409903792417,5.3050784307753063e-05,1.0574907170980677e-05,1027.7989492113718,1.0
104,2.0,230.0,25,22,143.99265664037424,False,AC,Al/St 240/40 2-bundle 220.0,0.7,1027.7989492113718,0.0,230.0,21.670894824376322,4.319779699211227,0.0,0.0011309156806806931,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.0004096577471526715,8.165935159189465e-05,0.0,59.82543950800867,0.0004096577471526715,8.165935159189465e-05,1027.7989492113718,1.0
105,1.0,230.0,159,279,28.828354219258582,False,AC,Al/St 240/40 2-bundle 220.0,0.7,513.8994746056859,0.0,230.0,8.677334619996833,1.729701253155515,0.0,0.00011320868228788386,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,2,0.00016403279054814427,3.2697566222221456e-05,0.0,5.988739293029056,0.00016403279054814427,3.2697566222221456e-05,513.8994746056859,1.0
106,2.0,138.0,21,56,43.27148373890896,False,AC,243-AL1/39-ST1A 20.0,0.7,308.3396847634115,0.0,138.0,6.923437398225434,2.5703261340911925,0.0,0.0002990710259329905,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.0003635495378190209,0.0001349677659153115,0.0,5.695508617867871,0.0003635495378190209,0.0001349677659153115,308.3396847634115,1.0
108,2.0,230.0,161,75,70.32473218790679,False,AC,Al/St 240/40 2-bundle 220.0,0.7,1027.7989492113718,0.0,230.0,10.583872194279971,2.1097419656372036,0.0,0.0005523291550179942,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,1,0.0002000731983795836,3.988170067367115e-05,0.0,29.218212300451892,0.0002000731983795836,3.988170067367115e-05,1027.7989492113718,1.0
114,1.0,138.0,165,280,15.255458863969348,False,AC,243-AL1/39-ST1A 20.0,0.7,154.16984238170576,0.0,138.0,4.8817468364701915,1.8123485130395587,0.0,5.2719081243606136e-05,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.0002563404135932678,9.516637854650067e-05,0.0,1.0039821832032352,0.0002563404135932678,9.516637854650067e-05,154.16984238170576,1.0
115,2.0,230.0,8,92,30.61578780215203,False,AC,Al/St 240/40 2-bundle 220.0,0.7,1027.7989492113718,0.0,230.0,4.60767606422388,0.918473634064561,0.0,0.00024045583510776206,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,8.71016269229467e-05,1.7362450549424592e-05,0.0,12.720113677200613,8.71016269229467e-05,1.7362450549424592e-05,1027.7989492113718,1.0
116,1.0,500.0,93,257,104.140592016086,False,AC,Al/St 240/40 4-bundle 380.0,0.7,2234.345541763852,0.0,500.0,25.618585635957157,3.12421776048258,0.0,0.0004514908999691542,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.00010247434254382862,1.249687104193032e-05,0.0,112.87272499228855,0.00010247434254382862,1.249687104193032e-05,2234.345541763852,1.0
117,1.0,138.0,166,55,29.071188687301582,False,AC,243-AL1/39-ST1A 20.0,0.7,154.16984238170576,0.0,138.0,9.302780379936506,3.453657216051428,0.0,0.00010046281609226428,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.0004884887828154015,0.0001813514606202178,0.0,1.913213869661081,0.0004884887828154015,0.0001813514606202178,154.16984238170576,1.0
118,1.0,138.0,153,7,9.50257625615757,False,AC,243-AL1/39-ST1A 20.0,0.7,154.16984238170576,0.0,138.0,3.040824401970422,1.1289060592315192,0.0,3.283854613217356e-05,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,0.00015967361909107445,5.92788310875614e-05,0.0,0.6253772725411133,0.00015967361909107445,5.92788310875614e-05,154.16984238170576,1.0
119,1.0,230.0,81,281,9.745240587890182,False,AC,Al/St 240/40 2-bundle 220.0,0.7,513.8994746056859,0.0,230.0,2.9333174169549445,0.5847144352734109,0.0,3.8269470297976096e-05,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,5.545023472504621e-05,1.1053202935225159e-05,0.0,2.0244549787629356,5.545023472504621e-05,1.1053202935225159e-05,513.8994746056859,1.0
120,2.0,230.0,87,125,20.398788357659914,False,AC,Al/St 240/40 2-bundle 220.0,0.7,1027.7989492113718,0.0,230.0,3.0700176478278167,0.6119636507297974,0.0,0.00016021170911639348,0.0,False,0.0,inf,0.0,0,inf,1.0,-inf,inf,0,5.803436007235948e-05,1.1568310977878968e-05,0.0,8.475199412257215,5.803436007235948e-05,1.1568310977878968e-05,1027.7989492113718,1.0
